GB 18030 码位	UCS 码位	字符	注释
0xA06C	U+7208	爈
0xA074	U+7210	爐
0xA078	U+7214	爔
0xA085	U+7221	爡
0xA087	U+7223	爣
0xA088	U+7224	爤
0xA089	U+7225	爥
0xA08A	U+7226	爦
0xA08C	U+7229	爩
0xA093	U+7234	爴
0xA0A9	U+7258	牘
0xA0D9	U+72A2	犢
0xA0DE	U+72A7	犧
0xA0E0	U+72A9	犩
0xAB44	U+7376	獶
0xAB47	U+7379	獹
0xAB49	U+737B	獻
0xAB4A	U+737C	獼
0xAB50	U+7383	玃
0xAD54	U+7497	璗
0xAD66	U+74AE	璮
0xAD7B	U+74C4	瓄
0xAD7E	U+74C7	瓇
0xAD82	U+74CA	瓊
0xAD88	U+74D0	瓐
0xAD90	U+74D9	瓙
0xAD92	U+74DB	瓛
0xAE54	U+750C	甌
0xAE5B	U+7517	甗
0xAE8B	U+756B	畫
0xAE93	U+7575	畵
0xAE96	U+757A	畺
0xAE9D	U+7582	疂
0xAE9F	U+7585	疅
0xAF41	U+7589	疉
0xAF42	U+758A	疊
0xAF71	U+75F2	痲
0xAF9C	U+763B	瘻
0xB04A	U+7651	癑
0xB052	U+765B	癛
0xB053	U+765D	癝
0xB054	U+765F	癟
0xB057	U+7662	癢
0xB05C	U+7668	癨
0xB05E	U+766A	癪
0xB061	U+766E	癮
0xB065	U+7673	癳
0xB066	U+7674	癴
0xB067	U+7675	癵
0xB09C	U+76BD	皽
0xB09D	U+76BE	皾
0xB152	U+76E7	盧
0xB156	U+76EB	盫
0xB158	U+76ED	盭
0xB28F	U+77CE	矎
0xB290	U+77CF	矏
0xB292	U+77D1	矑
0xB296	U+77D5	矕
0xB298	U+77D8	矘
0xB29A	U+77DA	矚
0xB29F	U+77E1	矡
0xB49E	U+790A	礊
0xB550	U+791F	礟
0xB557	U+7927	礧
0xB558	U+7928	礨
0xB55E	U+792E	礮
0xB561	U+7931	礱
0xB758	U+7A3E	稾
0xB769	U+7A52	穒
0xB84B	U+7AB4	窴
0xB84D	U+7AB6	窶
0xB857	U+7AC1	竁
0xB859	U+7AC3	竃
0xB85D	U+7AC7	竇
0xB85E	U+7AC8	竈
0xB85F	U+7AC9	竉
0xBA52	U+7BDF	篟
0xBA65	U+7BF9	篹
0xBA6A	U+7C00	簀
0xBA74	U+7C0D	簍
0xBA88	U+7C23	簣
0xBA8A	U+7C25	簥
0xBA9D	U+7C3C	簼
0xBB41	U+7C44	籄
0xBB43	U+7C46	籆
0xBB44	U+7C47	籇
0xBB46	U+7C49	籉
0xBB49	U+7C4C	籌
0xBB4D	U+7C51	籑
0xBB50	U+7C54	籔
0xBB53	U+7C57	籗
0xBB56	U+7C5A	籚
0xBB59	U+7C5D	籝
0xBB5C	U+7C60	籠
0xBB63	U+7C67	籧
0xBB65	U+7C69	籩
0xBB67	U+7C6B	籫
0xBB69	U+7C6D	籭
0xBB6B	U+7C6F	籯
0xBB6C	U+7C70	籰
0xBB6D	U+7C71	籱
0xBB6E	U+7C72	籲
0xBC5A	U+7CE7	糧
0xBC64	U+7CF3	糳
0xBC68	U+7CF7	糷
0xBF8E	U+7E4B	繋
0xC045	U+7E63	繣
0xC046	U+7E64	繤
0xC04D	U+7E6B	繫
0xC050	U+7E6E	繮
0xC057	U+7E75	繵
0xC06C	U+7E8B	纋
0xC06D	U+7E8C	續
0xC06E	U+7E8D	纍
0xC072	U+7E91	纑
0xC075	U+7E94	纔
0xC07C	U+7E9C	纜
0xC07D	U+7E9D	纝
0xC07E	U+7E9E	纞
0xC099	U+7F4A	罊
0xC09C	U+7F4D	罍
0xC09D	U+7F4E	罎
0xC09E	U+7F4F	罏
0xC15A	U+7F7F	罿
0xC15D	U+7F83	羃
0xC162	U+7F88	羈
0xC183	U+7FB6	羶
0xC24A	U+7FF5	翵
0xC269	U+8030	耰
0xC295	U+8072	聲
0xC29E	U+807B	聻
0xC340	U+807E	聾
0xC477	U+819A	膚
0xC546	U+81DA	臚
0xC549	U+81DD	臝
0xC54B	U+81DF	臟
0xC54D	U+81E1	臡
0xC558	U+81F1	臱
0xC55F	U+81FA	臺
0xC59B	U+8263	艣
0xC641	U+826B	艫
0xC642	U+826C	艬
0xC993	U+84F3	蓳
0xCA50	U+8516	蔖
0xCA56	U+851E	蔞
0xCA6A	U+8536	蔶
0xCA82	U+855A	蕚
0xCA89	U+8562	蕢
0xCA9D	U+857D	蕽
0xCB4B	U+8591	薑
0xCB4D	U+8593	薓
0xCB5E	U+85A7	薧
0xCB60	U+85AB	薫
0xCB64	U+85B2	薲
0xCB67	U+85B5	薵
0xCB73	U+85C4	藄
0xCB75	U+85C6	藆
0xCB7D	U+85D1	藑
0xCB81	U+85D6	藖
0xCB83	U+85D8	藘
0xCB85	U+85DA	藚
0xCB92	U+85EA	藪
0xCB93	U+85EB	藫
0xCB94	U+85EC	藬
0xCB9B	U+85F3	藳
0xCC42	U+85FC	藼
0xCC4A	U+8606	蘆
0xCC4D	U+8609	蘉
0xCC52	U+860E	蘎
0xCC55	U+8612	蘒
0xCC5A	U+8618	蘘
0xCC61	U+861F	蘟
0xCC64	U+8622	蘢
0xCC66	U+8624	蘤
0xCC6F	U+862F	蘯
0xCC70	U+8630	蘰
0xCC72	U+8632	蘲
0xCC74	U+8634	蘴
0xCC7A	U+863B	蘻
0xCC7B	U+863D	蘽
0xCC80	U+8641	虁
0xCC81	U+8642	虂
0xCC84	U+8645	虅
0xCC85	U+8646	虆
0xCC88	U+8649	虉
0xCC89	U+864A	虊
0xCC8A	U+864B	虋
0xCC8B	U+864C	虌
0xCC94	U+865C	虜
0xCCA0	U+866A	虪
0xCF62	U+87D7	蟗
0xCF71	U+87E9	蟩
0xCF80	U+87FA	蟺
0xCF84	U+87FF	蟿
0xCF8A	U+8806	蠆
