G2-2165	𠯠
G2-2166	㕪
G2-2167	吷
G2-2168	呿
G2-2169	咁
G2-2170	𠰱
G2-2171	咘
G2-2172	咑
G2-2173	呫
G2-2174	𠰷
G2-2175	⿰口业
G2-2176	呾
G2-2177	呺
G2-2178	咉
G2-2179	呥
G2-2180	呬
G2-2181	呹
G2-2182	呴
G2-2183	⿰口刍
G2-2184	𪠸
G2-2185	呞
G2-2186	咈
G2-2187	咍
G2-2188	呣
G2-2189	⿰口动
G2-2190	咡
G2-2191	咠
G2-2192	咺
G2-2193	⿰口厌
G2-2194	哊
G2-2201	⿰口夹
G2-2202	咥
G2-2203	⿰口过
G2-2204	呰
G2-2205	咢
G2-2206	㖆
G2-2207	哃
G2-2208	咮
G2-2209	咶
G2-2210	𪡀
G2-2211	唌
G2-2212	哅
G2-2213	咹
G2-2214	⿰口军
G2-2215	哢
G2-2216	㖔
G2-2217	唗
G2-2218	唝
G2-2219	哱
G2-2220	哤
G2-2221	⿰口来
G2-2222	㖏
G2-2223	哫
G2-2224	唈
G2-2225	哵
G2-2226	唎
G2-2227	𪡋
G2-2228	唂
G2-2229	哷
G2-2230	哸
G2-2231	哹
G2-2232	唃
G2-2233	㖕
G2-2234	唴
G2-2235	唦
G2-2236	哰
G2-2237	哴
G2-2238	唚
G2-2239	啨
G2-2240	啈
G2-2241	㖩
G2-2242	唶
G2-2243	㖪
G2-2244	𠵾
G2-2245	啀
G2-2246	唵
G2-2247	啅
G2-2248	㖵
G2-2249	啯
G2-2250	唺
G2-2251	啰
G2-2252	㖥
G2-2253	唩
G2-2254	唲
G2-2255	⿰口贪
G2-2256	㖧
G2-2257	啍
G2-2258	㖡
G2-2259	𪡛
G2-2260	啴
G2-2261	啌
G2-2262	啘
G2-2263	㖨
G2-2264	⿰口参
G2-2265	嗏
G2-2266	喓
G2-2267	喴
G2-2268	㗏
G2-2269	㖸
G2-2270	嗢
G2-2271	㗊
G2-2272	㗄
G2-2273	嗗
G2-2274	㗀
G2-2275	㗑
G2-2276	喠
G2-2277	喤
G2-2278	㗓
G2-2279	啽
G2-2280	喛
G2-2281	㗒
G2-2282	喨
G2-2283	⿰口亲
G2-2284	喭
G2-2285	嗞
G2-2286	㖻
G2-2287	⿰口⿰马交
G2-2288	㗕
G2-2289	㗘
G2-2290	嗕
G2-2291	㗔
G2-2292	嚂
G2-2293	嗃
G2-2294	嗙
G2-2301	嗋
G2-2302	嘒
G2-2303	嘕
G2-2304	㗦
G2-2305	㗨
G2-2306	嘡
G2-2307	嘂
G2-2308	嗺
G2-2309	嘚
G2-2310	⿰口龛
G2-2311	嘦
G2-2312	㗭
G2-2313	嗻
G2-2314	㗧
G2-2315	嘐
G2-2316	㗺
G2-2317	嘾
G2-2318	噆
G2-2319	㘀
G2-2320	㗱
G2-2321	噈
G2-2322	噋
G2-2323	噇
G2-2324	𪢌
G2-2325	噂
G2-2326	噀
G2-2327	噊
G2-2328	㗾
G2-2329	嚄
G2-2330	㘄
G2-2331	噳
G2-2332	嚃
G2-2333	噣
G2-2334	噭
G2-2335	噷
G2-2336	⿰口缚
G2-2337	㘆
G2-2338	㘈
G2-2339	嚘
G2-2340	㘊
G2-2341	嚗
G2-2342	嚚
G2-2343	嚜
G2-2344	⿰口颜
G2-2345	⿰口赞
G2-2346	嚾
G2-2347	嚵
G2-2348	㘗
G2-2349	囩
G2-2350	囮
G2-2351	囥
G2-2352	囷
G2-2353	⿴囗𠬤
G2-2354	圂
G2-2355	圁
G2-2356	圌
G2-2357	圐
G2-2358	圔
G2-2359	𪢮
G2-2360	圙
G2-2361	㘤
G2-2362	㘥
G2-2363	㠷
G2-2364	㠵
G2-2365	㠴
G2-2366	㠸
G2-2367	⿰巾无
G2-2368	㠺
G2-2369	帊
G2-2370	帓
G2-2371	⿰巾戋
G2-2372	帗
G2-2373	㠽
G2-2374	㠾
G2-2375	帞
G2-2376	㡂
G2-2377	㠿
G2-2378	帢
G2-2379	㡅
G2-2380	帟
G2-2381	帡
G2-2382	帣
G2-2383	帤
G2-2384	㡇
G2-2385	帪
G2-2386	帩
G2-2387	帨
G2-2388	帾
G2-2389	帺
G2-2390	㡋
G2-2391	帹
G2-2392	𪩷
G2-2393	帵
G2-2394	㡉
G2-2401	㡎
G2-2402	𪩸
G2-2403	㡛
G2-2404	幆
G2-2405	㡑
G2-2406	㡖
G2-2407	㡒
G2-2408	⿰巾娄
G2-2409	㡐
G2-2410	㡔
G2-2411	㡚
G2-2412	㡙
G2-2413	㡗
G2-2414	㡝
G2-2415	㡘
G2-2416	幏
G2-2417	幎
G2-2418	㡟
G2-2419	幖
G2-2420	幒
G2-2421	㡜
G2-2422	㡡
G2-2423	幪
G2-2424	幨
G2-2425	幦
G2-2426	幭
G2-2427	幰
G2-2428	㡧
G2-2429	㡪
G2-2430	邖
G2-2431	屴
G2-2432	屸
G2-2433	屼
G2-2434	𡵌
G2-2435	岏
G2-2436	⿰山历
G2-2437	㞱
G2-2438	㞰
G2-2439	岕
G2-2440	⿰山从
G2-2441	𡵝
G2-2442	岎
G2-2443	⿰山乌
G2-2444	岊
G2-2445	⿰山戋
G2-2446	⿰山厉
G2-2447	岯
G2-2448	⿱山龙
G2-2449	⿰山东
G2-2450	㞽
G2-2451	⿰山卢
G2-2452	⿱山业
G2-2453	岨
G2-2454	㞻
G2-2455	岟
G2-2456	岞
G2-2457	岻
G2-2458	峂
G2-2459	峃
G2-2460	岪
G2-2461	岧
G2-2462	⿰山对
G2-2463	㟂
G2-2464	岰
G2-2465	㟐
G2-2466	峘
G2-2467	峛
G2-2468	峓
G2-2469	峣
G2-2470	峌
G2-2471	峫
G2-2472	⿱山则
G2-2473	㟅
G2-2474	峗
G2-2475	峉
G2-2476	峧
G2-2477	𡶴
G2-2478	峐
G2-2479	峎
G2-2480	㟖
G2-2481	崁
G2-2482	峿
G2-2483	㟌
G2-2484	㟈
G2-2485	峼
G2-2486	峳
G2-2487	崄
G2-2488	㟇
G2-2489	㟎
G2-2490	㟏
G2-2491	訔
G2-2492	㟋
G2-2493	峾
G2-2494	㟉
G2-2501	崀
G2-2502	峮
G2-2503	崝
G2-2504	崚
G2-2505	㟙
G2-2506	崨
G2-2507	⿱山顶
G2-2508	崓
G2-2509	崜
G2-2510	崣
G2-2511	崥
G2-2512	崟
G2-2513	崪
G2-2514	⿰山单
G2-2515	㟤
G2-2516	崌
G2-2517	崫
G2-2518	崶
G2-2519	嵁
G2-2520	⿰山带
G2-2521	㟷
G2-2522	嵖
G2-2523	崼
G2-2524	嵎
G2-2525	嵑
G2-2526	㟪
G2-2527	崿
G2-2528	嵚
G2-2529	㟬
G2-2530	嵂
G2-2531	嵏
G2-2532	𡺃
G2-2533	嵃
G2-2534	崹
G2-2535	崺
G2-2536	⿰山⿳亠马𧘇
G2-2537	崷
G2-2538	㠂
G2-2539	㟼
G2-2540	㟿
G2-2541	㟲
G2-2542	嵲
G2-2543	㟸
G2-2544	嵣
G2-2545	嵰
G2-2546	嵱
G2-2547	㟹
G2-2548	⿰山营
G2-2549	嶆
G2-2550	㟽
G2-2551	嶊
G2-2552	嶉
G2-2553	𪩎
G2-2554	嶞
G2-2555	嶍
G2-2556	嵺
G2-2557	嶱
G2-2558	嶡
G2-2559	嶛
G2-2560	嶜
G2-2561	㠎
G2-2562	嶕
G2-2563	㠅
G2-2564	嶓
G2-2565	㠇
G2-2566	嶟
G2-2567	嶒
G2-2568	嵹
G2-2569	㠛
G2-2570	㠓
G2-2571	𪩘
G2-2572	㠒
G2-2573	㠑
G2-2574	嶭
G2-2575	嶦
G2-2576	嶰
G2-2577	㠔
G2-2578	嶻
G2-2579	嶾
G2-2580	巂	# G3-2580 雟, cf. G4-3123
G2-2581	㠢
G2-2582	⿰山赞
G2-2583	巏
G2-2584	巇
G2-2585	巉
G2-2586	㠥
G2-2587	㠧
G2-2588	彴
G2-2589	彸
G2-2590	衎
G2-2591	㣚
G2-2592	衏
G2-2593	徎
G2-2594	䘕
G2-2601	⿰彳责
G2-2602	徛
G2-2603	衒
G2-2604	徥
G2-2605	徯
G2-2606	㣯
G2-2607	徶
G2-2608	㣰
G2-2609	徲
G2-2610	衠
G2-2611	㣶
G2-2612	⿲彳⿳山一鱼攵
G2-2613	㣑
G2-2614	㣒
G2-2615	虨
G2-2616	夗
G2-2617	㚊
G2-2618	㚋
G2-2619	⿰多贵
G2-2620	夆
G2-2621	夌
G2-2622	㚇
G2-2623	夎
G2-2624	夒
G2-2625	斨
G2-2626	牁
G2-2627	㸛
G2-2628	牂
G2-2629	㸜
G2-2630	庌
G2-2631	⿸广从
G2-2632	庈
G2-2633	㡺
G2-2634	庘
G2-2635	㡶
G2-2636	㡸
G2-2637	㡵
G2-2638	庝
G2-2639	庤
G2-2640	㢀
G2-2641	庛
G2-2642	㡼
G2-2643	㢂
G2-2644	⿸广会
G2-2645	庣
G2-2646	庡
G2-2647	庰
G2-2648	㢅
G2-2649	庨
G2-2650	庯
G2-2651	庮
G2-2652	⿸广来
G2-2653	庪
G2-2654	庩
G2-2655	⿸广佥
G2-2656	㢃
G2-2657	庱
G2-2658	庴
G2-2659	㢍
G2-2660	㢊
G2-2661	庼
G2-2662	䨾
G2-2663	⿸广虏
G2-2664	㢉
G2-2665	㢋
G2-2666	⿸广带
G2-2667	⿸广钦
G2-2668	㢎
G2-2669	廋
G2-2670	廆
G2-2671	㢏
G2-2672	廅
G2-2673	⿸广⿱夹心
G2-2674	廇
G2-2675	廌
G2-2676	㢒
G2-2677	廙
G2-2678	廘
G2-2679	廜
G2-2680	㢖
G2-2681	𢋈
G2-2682	廦
G2-2683	闬
G2-2684	⿵门乞
G2-2685	𨷿
G2-2686	⿵门牙
G2-2687	⿵门介
G2-2688	⿵门为
G2-2689	⿵门可
G2-2690	⿵门平
G2-2691	⿵门旦
G2-2692	⿵门尔
G2-2693	⿵门必
G2-2694	⿵门当
G2-2701	闿
G2-2702	⿵门众
G2-2703	訚
G2-2704	阇
G2-2705	⿵门豖
G2-2706	⿵门⿱目夂
G2-2707	⿵门官
G2-2708	⿵门契
G2-2709	⿵门巷
G2-2710	⿵门垔
G2-2711	⿵门要
G2-2712	⿵门⿱日匂
G2-2713	阓
G2-2714	𫔸
G2-2715	阘
G2-2716	𫔹
G2-2717	⿵门堂
G2-2718	⿵门翏
G2-2719	⿵门翕
G2-2720	阛
