UCS	GB/T 2312	注释
4E00	321B
4E01	1601
4E03	263F
4E07	2D52
4E08	3529
4E09	285D
4E0A	292F
4E0B	2F22
4E0C	3802
4E0D	121B
4E0E	334B
4E10	3804
4E11	1353
4E13	3708
4E14	2732
4E15	3807
4E16	2A20
4E18	2750
4E19	115B
4E1A	3215
4E1B	1434
4E1C	160B
4E1D	2B1F
4E1E	3809
4E22	160A
4E24	211D
4E25	312F
4E27	2905
4E28	380D
4E2A	1856
4E2B	311E
4E2C	433C
4E2D	3630
4E30	1741
4E32	140E
4E34	2139
4E36	381C
4E38	2D48
4E39	1504
4E3A	2E0A
4E3B	3657
4E3D	2056
4E3E	1E39
4E3F	380F
4E43	242B
4E45	1E23
4E47	3811
4E48	2314
4E49	3245
4E4B	360E
4E4C	2E3A
4E4D	3507
4E4E	1A55
4E4F	1706
4E50	2036
4E52	2619
4E53	2532
4E54	2727
4E56	1934
4E58	132B
4E59	3232
4E5C	381F
4E5D	1E25
4E5E	2652
4E5F	3212
4E60	2F10
4E61	2F47
4E66	2A49
4E69	3820
4E70	2252
4E71	2232
4E73	2849
4E7E	270C
4E86	212B
4E88	3348
4E89	3559
4E8B	2A22
4E8C	165E
4E8D	3801
4E8E	333A
4E8F	1F57
4E91	3426
4E92	1B05
4E93	3821
4E94	2E45
4E95	1E0E
4E98	3808
4E9A	3127
4E9B	3009
4E9F	381D
4EA0	394F
4EA1	2D56
4EA2	1F1A
4EA4	1D1B
4EA5	1A05
4EA6	3240
4EA7	125A
4EA8	1A40
4EA9	2416
4EAB	2F4D
4EAC	1E09
4EAD	2D04
4EAE	2121
4EB2	2737
4EB3	3951
4EB5	3954
4EBA	282B
4EBB	3849
4EBF	323A
4EC0	2A12
4EC1	282A
4EC2	384C
4EC3	384A
4EC4	3826
4EC5	1D56
4EC6	262D
4EC7	1350
4EC9	384B
4ECA	1D51
4ECB	1D49
4ECD	2834
4ECE	1433
4ED1	2238
4ED3	1236
4ED4	3730
4ED5	2A2B
4ED6	2B5B
4ED7	352C
4ED8	1816
4ED9	2F29
4EDD	393A
4EDE	3850
4EDF	270A
4EE1	384E
4EE3	145A
4EE4	214E
4EE5	3234
4EE8	384D
4EEA	3227
4EEB	384F
4EEC	2327
4EF0	3156
4EF2	3639
4EF3	3852
4EF5	3855
4EF6	1C5E
4EF7	1C3B
4EFB	282E
4EFD	173D
4EFF	1722
4F01	2653
4F09	3858
4F0A	3221
4F0D	2E49
4F0E	1C1F
4F0F	175C
4F10	1705
4F11	303D
4F17	363A
4F18	3325
4F19	1B4F
4F1A	1B41
4F1B	3851
4F1E	2901
4F1F	2E10
4F20	140B
4F22	3853
4F24	292B
4F25	3856
4F26	2237
4F27	3857
4F2A	2E11
4F2B	3859
4F2F	120E
4F30	1920
4F32	3903
4F34	1049
4F36	2146
4F38	294C
4F3A	2B25
4F3C	2B26
4F3D	3904
4F43	1548
4F46	150B
4F4D	2E1B
4F4E	152D
4F4F	3701
4F50	3754
4F51	3333
4F53	2C45
4F55	1A2E
4F57	3902
4F58	393C
4F59	3340
4F5A	385D
4F5B	1750
4F5C	3757
4F5D	385E
4F5E	385A
4F5F	3901
4F60	2443
4F63	3316
4F64	3854
4F65	393D
4F67	385B
4F69	2545
4F6C	2030
4F6F	3150
4F70	103B
4F73	1C31
4F74	3906
4F76	3905
4F7B	390C
4F7C	390E
4F7E	390B
4F7F	2A19
4F83	3909
4F84	3616
4F88	133E
4F89	3908
4F8B	205D
4F8D	2A2C
4F8F	390A
4F91	3907
4F94	3910
4F97	1611
4F9B	1909
4F9D	3220
4FA0	2F20
4FA3	2222
4FA5	1D24
4FA6	354C
4FA7	1240
4FA8	2728
4FA9	1F4B
4FAA	390D
4FAC	390F
4FAE	2E4A
4FAF	1A4E
4FB5	2736
4FBF	1143
4FC3	1439
4FC4	164D
4FC5	3914
4FCA	1F01
4FCE	393E
4FCF	272E
4FD0	205E
4FD1	3918
4FD7	2B37
4FD8	175D
4FDA	3915
4FDC	3917
4FDD	1103
4FDE	3341
4FDF	3919
4FE1	3025
4FE3	3916
4FE6	3911
4FE8	3912
4FE9	2109
4FEA	3913
4FED	1C53
4FEE	303E
4FEF	1809
4FF1	1E43
4FF3	391D
4FF8	391A
4FFA	1013
4FFE	3922
500C	3924
500D	1116
500F	391F
5012	1519
5014	1E53
5018	2C28
5019	1A52
501A	3230
501C	3923
501F	1D48
5021	130B
5025	3925
5026	1E4B
5028	3926
5029	391B
502A	243F
502C	391E
502D	3921
502E	3920
503A	350E
503C	3615
503E	2743
5043	3928
5047	1C39
5048	392A
504C	391C
504E	392B
504F	260B
5055	3929
505A	3756
505C	2D03
5065	1D01
506C	392C
5076	251C
5077	2D15
507B	392D
507E	3927
507F	1305
5080	1F5E
5085	1815
5088	205C
508D	1058
50A3	1456
50A5	392E
50A7	392F
50A8	1402
50A9	3930
50AC	143F
50B2	1021
50BA	3931
50BB	2915
50CF	2F51
50D6	3932
50DA	2125
50E6	3936
50E7	290E
50EC	3935
50ED	3934
50EE	3937
50F3	2B3B
50F5	1D09
50FB	2607
5106	3933
5107	3938
510B	3939
5112	2845
5121	203C
513F	1659
5140	3803
5141	342A
5143	340A
5144	3036
5145	1344
5146	3537
5148	2F28
5149	1942
514B	1F2B
514D	2342
5151	1632
5154	2D23
5155	394E
5156	3950
515A	1513
515C	1615
5162	1E04
5165	284B
5168	280B
516B	102B
516C	190B
516D	2159
516E	3942
5170	201C
5171	1912
5173	1938
5174	302B
5175	1158
5176	2644
5177	1E3F
5178	1544
5179	3728
517B	3158
517C	1C46
517D	2A3E
5180	1C1D
5181	3946
5182	3847
5185	243A
5188	1834
5189	281D
518C	1241
518D	3439
5192	2310
5195	2341
5196	3A02
5197	283F
5199	3014
519B	1E5C
519C	2509
51A0	193A
51A2	3A03
51A4	3409
51A5	3A04
51AB	395B
51AC	160C
51AF	174B
51B0	1159
51B1	395C
51B2	1345
51B3	1E56
51B5	1F56
51B6	3211
51B7	2044
51BB	1613
51BC	395E
51BD	395D
51C0	1E1B
51C4	2640
51C6	371C
51C7	3A01
51C9	2119
51CB	1552
51CC	2148
51CF	1C55
51D1	1435
51DB	213D
51DD	245D
51E0	1C18
51E1	1712
51E4	174F
51EB	394C
51ED	261E
51EF	1F0D
51F0	1B2B
51F3	152A
51F5	3B29
51F6	3037
51F8	2D19
51F9	101C
51FA	1356
51FB	1B57
51FC	3B2A
51FD	1A0F
51FF	3444
5200	1516
5201	1553
5202	3836
5203	2830
5206	1736
5207	2730
5208	3837
520A	1F0F
520D	3B1B
520E	3838
5211	302C
5212	1B0E
5216	4B1E
5217	2130
5218	2155
5219	3452
521A	1835
521B	1414
521D	1355
5220	291E
5224	2530
5228	2539
5229	205B
522B	1150
522D	3839
522E	192E
5230	151D
5233	383A
5236	3626
5237	2B02
5238	280F
5239	2912
523A	142C
523B	1F2C
523D	1954
523F	383B
5240	383C
5241	1647
5242	1C21
5243	2C4A
524A	2F57
524C	383D
524D	2710
5250	1930
5251	1D03
5254	2C3E
5256	262A
525C	3840
525E	383E
5261	383F
5265	105E
5267	1E47
5269	2A03
526A	1C54
526F	1811
5272	184E
527D	3842
527F	1D2B
5281	3844
5282	3843
5288	255C
5290	3845
5293	3846
529B	2106
529D	2810
529E	104C
529F	1906
52A0	1C33
52A1	2E51
52A2	3B1D
52A3	2133
52A8	160F
52A9	365A
52AA	250C
52AB	1D39
52AC	3B1E
52AD	3B1F
52B1	2058
52B2	1E02
52B3	202D
52BE	3B20
52BF	2A26
52C3	120A
52C7	3322
52C9	2343
52CB	310B
52D0	3B22
52D2	2035
52D6	3B23
52D8	1F11
52DF	241C
52E4	273A
52F0	3B24
52F9	3948
52FA	2937
52FE	1914
52FF	2E50
5300	3428
5305	105C
5306	1432
5308	3039
530D	3949
530F	3E2B
5310	394B
5315	3810
5316	1B0F
5317	1111
5319	1337
531A	382E
531D	3431
5320	1D13
5321	1F4F
5323	2F1B
5326	3830
532A	172B
532E	3831
5339	2605
533A	2758
533B	321D
533E	3832
533F	2444
5341	2A0E
5343	2707
5345	3806
5347	295D
5348	2E47
5349	1B3C
534A	104B
534E	1B0A
534F	300D
5351	1110
5352	3744
5353	371F
5355	1505
5356	2254
5357	242F
535A	1209
535C	1217
535E	1145
535F	3F12
5360	351C
5361	1F08
5362	220C
5363	3835
5364	2211
5366	3834
5367	2E34
5369	3A40
536B	2E20
536E	3814
536F	230E
5370	3301
5371	2E03
5373	1C14
5374	2814
5375	2231
5377	1E4D
5378	3016
537A	3A41
537F	2744
5382	1307
5384	1652
5385	2C5C
5386	205A
5389	2057
538B	3119
538C	3141
538D	3827
5395	123E
5398	2045
539A	1A51
539D	3828
539F	340D
53A2	2F41
53A3	3829
53A5	382A
53A6	2F23
53A8	1358
53A9	1E27
53AE	382B
53B6	3B2C
53BB	2805
53BF	2F38
53C1	285E
53C2	122E
53C8	3336
53C9	1246
53CA	1C10
53CB	3331
53CC	2B0B
53CD	1714
53D1	1702
53D4	2A45
53D6	2801
53D7	2A3C
53D8	1144
53D9	3050
53DB	2531
53DF	3B25
53E0	155E
53E3	1F3A
53E4	1925
53E5	1E44
53E6	214D
53E8	3F16
53E9	3F15
53EA	361B
53EB	1D30
53EC	3539
53ED	1028
53EE	1603
53EF	1F29
53F0	2C08
53F1	3F13
53F2	2A17
53F3	3332
53F5	382F
53F6	3216
53F7	1A25
53F8	2B1E
53F9	2C1E
53FB	3F17
53FC	1550
53FD	3F14
5401	3355
5403	1334
5404	1857
5406	3F1A
5408	1A2F
5409	1C0A
540A	1555
540C	2D0C
540D	235B
540E	1A53
540F	2054
5410	2D22
5411	2F52
5412	3F18
5413	2F25
5415	2220
5416	3F19
5417	2250
541B	1E5D
541D	213F
541E	2D2C
541F	3257
5420	172D
5421	3F21
5423	3F24
5426	1751
5427	1029
5428	1636
5429	1734
542B	1A0C
542C	2C5D
542D	1F34
542E	2B11
542F	2654
5431	3608
5432	3F25
5434	2E42
5435	1313
5438	2E5C
5439	1415
543B	2E27
543C	1A50
543E	2E41
5440	311D
5443	3F20
5446	1454
5448	132A
544A	1846
544B	3F1B
5450	2425
5452	3F1C
5453	3F1D
5454	3F1E
5455	251B
5456	3F1F
5457	3F22
5458	3411
5459	3F23
545B	271A
545C	2E38
5462	2438
5464	3F2A
5466	3F2F
5468	363C
5471	3F29
5472	3F3A
5473	2E16
5475	1A27
5476	3F2E
5477	3F28
5478	253E
547B	294B
547C	1A54
547D	235C
5480	1E37
5482	3F26
5484	3F2D
5486	2538
548B	3506
548C	1A2D
548E	1E2C
548F	331D
5490	1820
5492	3644
5494	3F27
5495	191E
5496	1F07
5499	215C
549A	3F2B
549B	3F2C
549D	3F30
54A3	3F3B
54A4	3F45
54A6	3F37
54A7	3F36
54A8	3729
54A9	3F43
54AA	3F44
54AB	454B
54AC	3207
54AD	3F32
54AF	1F09
54B1	343B
54B3	1F28
54B4	3F34
54B8	2F2C
54BB	3F3D
54BD	312A
54BF	3F3E
54C0	1007
54C1	2617
54C2	3F33
54C4	1A45
54C6	163F
54C7	2D3B
54C8	195E
54C9	3435
54CC	3F3F
54CD	2F4C
54CE	1005
54CF	3F47
54D0	3F31
54D1	3126
54D2	3F35
54D3	3F38
54D4	3F39
54D5	3F3C
54D7	1B09
54D9	3F40
54DA	3F41
54DC	3F42
54DD	3F46
54DE	3F48
54DF	3314
54E5	1847
54E6	2516
54E7	3F4A
54E8	293A
54E9	2108
54EA	2424
54ED	1F3E
54EE	2F58
54F2	353C
54F3	3F4E
54FA	1218
54FC	1A3F
54FD	3F4C
54FF	3B21
5501	3144
5506	2B54
5507	141D
5509	1006
550F	3F51
5510	2C26
5511	3F52
5514	3F4D
551B	3F49
5520	3F4B
5522	3F4F
5523	3F50
5524	1B1D
5527	3F53
552A	3F54
552C	1B03
552E	2A3B
552F	2E08
5530	4007
5531	130A
5533	4006
5537	4001
553C	3F5E
553E	2D39
553F	3F5C
5541	3F5A
5543	1F30
5544	3724
5546	292C
5549	3F58
554A	1001
5550	3F5D
5555	3F5B
5556	4002
555C	4008
5561	1728
5564	2601
5565	2916
5566	2012
5567	3F55
556A	251E
556C	3824
556D	3F59
556E	2456
5575	4003
5576	4004
5577	4005
5578	3005
557B	4014
557C	2C44
557E	4011
5580	1F06
5581	400F
5582	2E19
5583	400B
5584	2926
5587	200E
5588	400E
5589	1A4D
558A	1A10
558B	4009
558F	3F56
5591	4013
5594	4018
5598	140D
5599	4019
559C	2F12
559D	1A28
559F	4010
55A7	305A
55B1	400C
55B3	345B
55B5	3F57
55B7	2547
55B9	400D
55BB	3357
55BD	4016
55BE	4017
55C4	4024
55C5	3041
55C9	401C
55CC	4029
55CD	402A
55D1	401E
55D2	400A
55D3	2904
55D4	4021
55D6	4012
55DC	2A28
55DD	4023
55DF	4015
55E1	2E2B
55E3	2B23
55E4	402D
55E5	4026
55E6	4022
55E8	402B
55EA	401A
55EB	401F
55EC	4020
55EF	4025
55F2	4027
55F3	4028
55F5	402C
55F7	401B
55FD	2B34
55FE	4035
5600	4036
5601	4032
5608	4030
5609	1C2E
560C	4031
560E	1822
560F	3825
5618	304A
561B	224F
561E	402F
561F	401D
5623	4034
5624	4033
5627	4037
562C	403C
562D	4038
5631	3656
5632	1310
5634	374C
5636	2B1B
5639	403A
563B	2E5B
563F	1A39
564C	4041
564D	403D
564E	320D
5654	4042
5657	403B
5658	4039
5659	403F
565C	4040
5662	403E
5664	4044
5668	2657
5669	380C
566A	344B
566B	4046
566C	2A29
5671	4045
5676	1821
567B	4047
567C	4048
5685	4049
5686	4043
568E	1A1F
568F	2C47
5693	404A
56A3	2F59
56AF	404B
56B7	2822
56BC	1D20
56CA	2432
56D4	404C
56D7	404D
56DA	2754
56DB	2B24
56DD	404E
56DE	1B38
56DF	3816
56E0	3252
56E1	404F
56E2	2D25
56E4	163A
56EB	4051
56ED	3410
56F0	2007
56F1	1431
56F4	2E07
56F5	4050
56F9	4052
56FA	192C
56FD	195A
56FE	2D1C
56FF	4053
5703	2634
5704	4054
5706	3412
5708	2806
5709	4056
570A	4055
571C	4057
571F	2D21
5723	2A05
5728	343A
5729	3B37
572A	3B39
572C	3B38
572D	1947
572E	3B3C
572F	3B3D
5730	1538
5733	3B3A
5739	3B3B
573A	1301
573B	3B3F
573E	1B58
5740	3617
5742	3B40
5747	1E59
574A	171B
574C	3B30
574D	2C0E
574E	1F12
574F	1B15
5750	3758
5751	1F33
5757	1F49
575A	1C41
575B	2C13
575C	3B3E
575D	1033
575E	2E4B
575F	1738
5760	3719
5761	2622
5764	2004
5766	2C19
5768	3B47
5769	3B41
576A	261A
576B	3B43
576D	3B48
576F	2557
5773	3B4A
5776	3B49
5777	1F20
577B	3B46
577C	3B45
5782	1419
5783	200C
5784	2202
5785	3B42
5786	3B44
578B	302D
578C	3B4D
5792	203D
5793	3B52
579B	1642
57A0	3B53
57A1	3B32
57A2	1918
57A3	340B
57A4	3B4C
57A6	1F31
57A7	3B50
57A9	3B31
57AB	1546
57AD	3B4B
57AE	1F45
57B2	3B4E
57B4	3B51
57B8	3B59
57C2	1901
57C3	1003
57CB	2251
57CE	1327
57CF	3B4F
57D2	3B58
57D4	2632
57D5	3B54
57D8	3B55
57D9	3B57
57DA	3B56
57DD	3B5E
57DF	3352
57E0	121A
57E4	3B5D
57ED	3C04
57EF	3B5B
57F4	3B5A
57F8	3B5C
57F9	2540
57FA	1B59
57FD	3C03
5800	3C05
5802	2C23
5806	1631
5807	3D20
580B	3C01
580D	3C02
5811	2715
5815	1649
5819	3C07
581E	3C06
5820	3C09
5821	1104
5824	152C
582A	1F10
5830	313F
5835	1622
5844	3C08
584C	2B5A
584D	4B53
5851	2B3C
5854	2B5E
5858	2C21
585E	285B
5865	3C0A
586B	2C4E
586C	3C0B
587E	3B33
5880	3C0F
5881	3C0C
5883	1E13
5885	2A5B
5889	3C0D
5892	292A
5893	2419
5899	271D
589A	3C0E
589E	3456
589F	3046
58A8	240B
58A9	1635
58BC	3B34
58C1	113A
58C5	3B35
58D1	3B36
58D5	1A1E
58E4	2820
58EB	2A1F
58EC	2829
58EE	3713
58F0	2959
58F3	1F27
58F6	1A58
58F9	321C
5902	421A
5904	1406
5907	1118
590D	1814
590F	2F24
5914	3947
5915	2F06
5916	2D42
5919	394D
591A	1640
591C	3219
591F	191B
5924	4219
5925	4217
5927	1453
5929	2C4C
592A	2C0B
592B	1752
592D	3812
592E	314B
592F	1A1B
5931	2A07
5934	2D17
5937	3224
5938	1F44
5939	1C30
593A	1641
593C	3E25
5941	3E26
5942	3B1C
5944	3139
5947	2646
5948	242E
5949	174E
594B	173C
594E	1F5C
594F	3740
5951	2655
5954	111C
5955	3E28
5956	1D11
5957	2C37
5958	3E2A
595A	3E29
5960	154C
5962	293D
5965	1022
5973	250E
5974	250B
5976	242C
5978	1C49
5979	2B5D
597D	1A23
5981	4559
5982	2847
5983	455A
5984	2D5D
5986	3711
5987	181E
5988	2248
598A	2831
598D	455B
5992	162A
5993	1C2B
5996	315D
5997	4601
5999	234E
599E	4604
59A3	455E
59A4	4605
59A5	2D37
59A8	1721
59A9	455C
59AA	455D
59AB	4603
59AE	243D
59AF	4608
59B2	4607
59B9	2323
59BB	263E
59BE	460A
59C6	2417
59CA	4602
59CB	2A1C
59D0	1D43
59D1	1923
59D2	4606
59D3	3035
59D4	2E0F
59D7	4609
59D8	4610
59DA	3206
59DC	1D0A
59DD	460D
59E3	460F
59E5	2031
59E8	322C
59EC	1C07
59F9	4611
59FB	3256
59FF	372B
5A01	2D5E
5A03	2D3E
5A04	2206
5A05	460B
5A06	460C
5A07	1D1F
5A08	460E
5A09	4613
5A0C	4612
5A11	4616
5A13	4618
5A18	244F
5A1C	2428
5A1F	1E4A
5A20	294F
5A23	4617
5A25	1650
5A29	2344
5A31	3349
5A32	4614
5A34	4615
5A36	2802
5A3C	461D
5A40	4619
5A46	2625
5A49	2D51
5A4A	461B
5A55	461C
5A5A	1B49
5A62	461E
5A67	461A
5A6A	2017
5A74	3304
5A75	461F
5A76	2954
5A77	4623
5A7A	4624
5A7F	3056
5A92	231D
5A9A	2324
5A9B	4622
5AAA	4621
5AB2	4627
5AB3	2F11
5AB5	4B54
5AB8	462A
5ABE	4625
5AC1	1C3E
5AC2	2909
5AC9	1C15
5ACC	2F33
5AD2	4628
5AD4	4629
5AD6	462E
5AD8	4630
5ADC	4631
5AE0	462B
5AE1	1535
5AE3	462C
5AE6	462F
5AE9	243B
5AEB	4626
5AF1	462D
5B09	4632
5B16	4634
5B17	4633
5B32	4635
5B34	3958
5B37	4636
5B40	4637
5B50	3733
5B51	463D
5B53	463E
5B54	1F37
5B55	3430
5B57	3736
5B58	1446
5B59	2B4F
5B5A	463A
5B5B	3823
5B5C	372E
5B5D	3002
5B5F	232F
5B62	463F
5B63	1C1E
5B64	1922
5B65	463B
5B66	3107
5B69	1A02
5B6A	222F
5B6C	380B
5B70	2A4B
5B71	454E
5B73	463C
5B75	1755
5B7A	2846
5B7D	2455
5B80	4512
5B81	245E
5B83	2B5C
5B84	4513
5B85	350C
5B87	334E
5B88	2A38
5B89	1012
5B8B	2B2E
5B8C	2D4A
5B8F	1A4A
5B93	4515
5B95	4514
5B97	373A
5B98	1939
5B99	3646
5B9A	1608
5B9B	2D50
5B9C	322B
5B9D	1106
5B9E	2A15
5BA0	1348
5BA1	2953
5BA2	1F2D
5BA3	305B
5BA4	2A32
5BA5	4516
5BA6	1B22
5BAA	2F3C
5BAB	190C
5BB0	3437
5BB3	1A06
5BB4	3147
5BB5	2F5C
5BB6	1C32
5BB8	4517
5BB9	283D
5BBD	1F4D
5BBE	1156
5BBF	2B3E
5BC2	1C25
5BC4	1C24
5BC5	325A
5BC6	233C
5BC7	1F3C
5BCC	181B
5BD0	2322
5BD2	1A0E
5BD3	3402
5BDD	273E
5BDE	240F
5BDF	124C
5BE1	1931
5BE4	451B
5BE5	2128
5BE8	350F
5BEE	451C
5BF0	451E
5BF8	1447
5BF9	1634
5BFA	2B22
5BFB	3110
5BFC	151C
5BFF	2A39
5C01	1742
5C04	2944
5C06	1D0B
5C09	2E1E
5C0A	3750
5C0F	3001
5C11	2939
5C14	165B
5C15	4638
5C16	1C42
5C18	131E
5C1A	2930
5C1C	4639
5C1D	1302
5C22	3E2C
5C24	3328
5C25	3E2D
5C27	3202
5C2C	3E2E
5C31	1E2D
5C34	3E2F
5C38	2A0C
5C39	325C
5C3A	133F
5C3B	454A
