兼容字	SVS 表示	兼容字对应码点	SVS 码点
識	識︀	U+F9FC	U+8B58 U+FE00
什	什︀	U+F9FD	U+4EC0 U+FE00
茶	茶︀	U+F9FE	U+8336 U+FE00
刺	刺︀	U+F9FF	U+523A U+FE00
切	切︀	U+FA00	U+5207 U+FE00
度	度︀	U+FA01	U+5EA6 U+FE00
拓	拓︀	U+FA02	U+62D3 U+FE00
糖	糖︀	U+FA03	U+7CD6 U+FE00
宅	宅︀	U+FA04	U+5B85 U+FE00
洞	洞︀	U+FA05	U+6D1E U+FE00
暴	暴︀	U+FA06	U+66B4 U+FE00
輻	輻︀	U+FA07	U+8F3B U+FE00
行	行︀	U+FA08	U+884C U+FE00
降	降︀	U+FA09	U+964D U+FE00
見	見︀	U+FA0A	U+898B U+FE00
廓	廓︀	U+FA0B	U+5ED3 U+FE00
兀	兀︀	U+FA0C	U+5140 U+FE00
嗀	嗀︀	U+FA0D	U+55C0 U+FE00
塚	塚︀	U+FA10	U+585A U+FE00
晴	晴︀	U+FA12	U+6674 U+FE00
凞	凞︀	U+FA15	U+51DE U+FE00
猪	猪︀	U+FA16	U+732A U+FE00
益	益︀	U+FA17	U+76CA U+FE00
礼	礼︀	U+FA18	U+793C U+FE00
神	神︀	U+FA19	U+795E U+FE00
祥	祥︀	U+FA1A	U+7965 U+FE00
福	福︀	U+FA1B	U+798F U+FE00
靖	靖︀	U+FA1C	U+9756 U+FE00
精	精︀	U+FA1D	U+7CBE U+FE00
羽	羽︀	U+FA1E	U+7FBD U+FE00
蘒	蘒︀	U+FA20	U+8612 U+FE00
諸	諸︀	U+FA22	U+8AF8 U+FE00
逸	逸︀	U+FA25	U+9038 U+FE00
都	都︀	U+FA26	U+90FD U+FE00
飯	飯︀	U+FA2A	U+98EF U+FE00
飼	飼︀	U+FA2B	U+98FC U+FE00
館	館︀	U+FA2C	U+9928 U+FE00
鶴	鶴︀	U+FA2D	U+9DB4 U+FE00
郞	郞︀	U+FA2E	U+90DE U+FE00
隷	隷︀	U+FA2F	U+96B7 U+FE00
侮	侮︀	U+FA30	U+4FAE U+FE00
僧	僧︀	U+FA31	U+50E7 U+FE00
免	免︀	U+FA32	U+514D U+FE00
勉	勉︀	U+FA33	U+52C9 U+FE00
勤	勤︀	U+FA34	U+52E4 U+FE00
卑	卑︀	U+FA35	U+5351 U+FE00
喝	喝︀	U+FA36	U+559D U+FE00
嘆	嘆︀	U+FA37	U+5606 U+FE00
器	器︀	U+FA38	U+5668 U+FE00
塀	塀︀	U+FA39	U+5840 U+FE00
墨	墨︀	U+FA3A	U+58A8 U+FE00
層	層︀	U+FA3B	U+5C64 U+FE00
屮	屮︀	U+FA3C	U+5C6E U+FE00
悔	悔︀	U+FA3D	U+6094 U+FE00
慨	慨︀	U+FA3E	U+6168 U+FE00
憎	憎︀	U+FA3F	U+618E U+FE00
懲	懲︀	U+FA40	U+61F2 U+FE00
敏	敏︀	U+FA41	U+654F U+FE00
既	既︀	U+FA42	U+65E2 U+FE00
暑	暑︀	U+FA43	U+6691 U+FE00
梅	梅︀	U+FA44	U+6885 U+FE00
海	海︀	U+FA45	U+6D77 U+FE00
渚	渚︀	U+FA46	U+6E1A U+FE00
漢	漢︀	U+FA47	U+6F22 U+FE00
煮	煮︀	U+FA48	U+716E U+FE00
爫	爫︀	U+FA49	U+722B U+FE00
琢	琢︀	U+FA4A	U+7422 U+FE00
碑	碑︀	U+FA4B	U+7891 U+FE00
社	社︀	U+FA4C	U+793E U+FE00
祉	祉︀	U+FA4D	U+7949 U+FE00
祈	祈︀	U+FA4E	U+7948 U+FE00
祐	祐︀	U+FA4F	U+7950 U+FE00
祖	祖︀	U+FA50	U+7956 U+FE00
祝	祝︀	U+FA51	U+795D U+FE00
禍	禍︀	U+FA52	U+798D U+FE00
禎	禎︀	U+FA53	U+798E U+FE00
穀	穀︀	U+FA54	U+7A40 U+FE00
突	突︀	U+FA55	U+7A81 U+FE00
節	節︀	U+FA56	U+7BC0 U+FE00
練	練︁	U+FA57	U+7DF4 U+FE01
縉	縉︀	U+FA58	U+7E09 U+FE00
繁	繁︀	U+FA59	U+7E41 U+FE00
署	署︀	U+FA5A	U+7F72 U+FE00
者	者︀	U+FA5B	U+8005 U+FE00
臭	臭︀	U+FA5C	U+81ED U+FE00
艹	艹︀	U+FA5D	U+8279 U+FE00
艹	艹︁	U+FA5E	U+8279 U+FE01
著	著︀	U+FA5F	U+8457 U+FE00
褐	褐︀	U+FA60	U+8910 U+FE00
視	視︀	U+FA61	U+8996 U+FE00
謁	謁︀	U+FA62	U+8B01 U+FE00
謹	謹︀	U+FA63	U+8B39 U+FE00
